sk_produto,id_produto,nome_produto,categoria,subcategoria
1,TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Tecnologia,Accessories
2,TEC-PH-10000030,"Samsung Smart Phone, with Caller ID",Tecnologia,Phones
3,OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Material de Escritorio,Binders
4,FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Moveis,Tables
5,OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Material de Escritorio,Supplies
6,TEC-CIS-10001717,"Cisco Smart Phone, with Caller ID",Tecnologia,Phones
7,TEC-AC-10004145,Logitech diNovo Edge Keyboard,Tecnologia,Accessories
8,FUR-HON-10000224,"Hon Computer Table, with Bottom Storage",Moveis,Tables
9,TEC-PH-10001363,Apple iPhone 5S,Tecnologia,Phones
10,FUR-CH-10000027,"SAFCO Executive Leather Armchair, Black",Moveis,Chairs
11,FUR-TA-10002827,"Hon Computer Table, Fully Assembled",Moveis,Tables
12,TEC-PH-10002885,Apple iPhone 5,Tecnologia,Phones
13,TEC-MA-10000161,"Okidata Inkjet, Wireless",Tecnologia,Machines
14,FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Moveis,Chairs
15,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Moveis,Tables
16,TEC-APP-10000308,"Apple Smart Phone, Full Size",Tecnologia,Phones
17,TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Tecnologia,Machines
18,TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,Tecnologia,Machines
19,OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Material de Escritorio,Binders
20,TEC-CAN-10003392,"Canon Copy Machine, Color",Tecnologia,Copiers
21,TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Tecnologia,Copiers
22,TEC-MOT-10002272,"Motorola Smart Phone, with Caller ID",Tecnologia,Phones
23,TEC-CO-10001766,Canon PC940 Copier,Tecnologia,Copiers
24,OFF-AP-10002244,"Breville Refrigerator, White",Material de Escritorio,Appliances
25,TEC-PH-10001459,Samsung Galaxy Mega 6.3,Tecnologia,Phones
26,TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Tecnologia,Machines
27,OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Material de Escritorio,Appliances
28,FUR-TA-10001205,"Chromcraft Wood Table, Rectangular",Moveis,Tables
29,FUR-CHR-10001018,"Chromcraft Round Table, Rectangular",Moveis,Tables
30,TEC-CAN-10001437,"Canon Wireless Fax, Laser",Tecnologia,Copiers
31,OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Material de Escritorio,Binders
32,FUR-TA-10003392,Global Adaptabilities Conference Tables,Moveis,Tables
33,TEC-MOT-10000554,"Motorola Smart Phone, Full Size",Tecnologia,Phones
34,TEC-CO-10001633,"Sharp Fax Machine, High-Speed",Tecnologia,Copiers
35,FUR-TA-10004575,Hon 5100 Series Wood Tables,Moveis,Tables
36,FUR-CH-10001582,"Office Star Executive Leather Armchair, Black",Moveis,Chairs
37,TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Tecnologia,Machines
38,TEC-CO-10001775,"Sharp Wireless Fax, Laser",Tecnologia,Copiers
39,OFF-AP-10000647,"Hoover Refrigerator, White",Material de Escritorio,Appliances
40,TEC-MA-10004002,Zebra GX420t Direct Thermal/Thermal Transfer Printer,Tecnologia,Machines
41,OFF-ST-10001496,Standard Rollaway File with Lock,Material de Escritorio,Storage
42,TEC-CO-10000562,"HP Wireless Fax, Digital",Tecnologia,Copiers
43,TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Tecnologia,Machines
