sk_pedido,sk_cliente,sk_produto,valor_venda,qtd_vendida,custo_envio,valor_unit
1,1,1,2309.65,7,933.57,329.95
2,2,1923,3709.395,9,923.63,412.155
3,3,306,5175.171,9,915.49,575.019
4,4,391,2892.51,5,910.16,578.5020000000001
5,5,188,2832.96,8,903.04,354.12
6,6,2,2862.675,5,897.35,572.5350000000001
7,7,135,1822.08,4,894.77,455.52
8,8,136,5244.84,6,878.38,874.14
9,9,3,5083.96,5,867.69,1016.792
10,10,4,4297.644,13,865.74,330.588
11,11,5,4164.05,5,846.54,832.8100000000001
12,12,682,4626.15,5,835.57,925.2299999999999
13,13,6,2616.96,4,832.41,654.24
14,14,86,2221.8,7,810.25,317.40000000000003
15,15,86,3701.52,12,804.54,308.46
16,16,354,1869.588,4,801.66,467.397
17,17,7,2249.91,9,780.7,249.98999999999998
18,18,194,7958.58,14,778.32,568.47
19,19,151,2565.594,9,766.93,285.06600000000003
20,20,399,3409.74,6,763.38,568.29
21,21,8,1977.72,4,759.47,494.43
22,22,9,2735.952,6,752.51,455.992
23,23,10,2754.0,6,752.47,459.0
24,24,56,5273.7,10,730.91,527.37
25,25,33,1713.84,4,728.97,428.46
26,26,11,2106.496,8,728.39,263.312
27,27,345,1715.16,2,725.57,857.58
28,28,194,3069.738,6,725.34,511.623
29,29,12,4158.912,8,714.66,519.864
30,30,158,1878.72,4,704.08,469.68
31,31,83,1696.64,5,704.06,339.32800000000003
32,32,13,2402.865,9,699.55,266.98499999999996
33,33,14,2453.43,5,690.42,490.686
34,34,353,2526.93,5,689.8,505.38599999999997
35,35,15,3610.848,12,683.12,300.904
36,36,16,3817.26,6,678.15,636.21
37,37,17,2799.96,4,675.15,699.99
38,38,18,7999.98,4,674.82,1999.995
39,39,442,4141.02,13,668.96,318.54
40,40,306,2875.095,5,665.27,575.019
41,41,33,3200.5962,6,660.87,533.4327
42,42,22,4518.78,7,658.69,645.54
43,43,119,5667.87,13,658.35,435.99
44,44,391,5785.02,9,656.73,642.7800000000001
45,45,815,3018.624,7,655.91,431.23199999999997
46,46,19,9449.95,5,655.61,1889.9900000000002
47,47,335,2092.5,5,652.98,418.5
48,48,584,2761.2,6,644.75,460.2
49,49,1440,2174.13,7,637.86,310.59000000000003
50,50,142,3473.14,11,634.53,315.74
51,51,3,3050.376,3,632.05,1016.792
52,52,20,2108.64,8,630.97,263.58
53,53,21,2399.96,5,630.05,479.992
27,27,1078,2197.5,5,627.27,439.5
54,54,22,2582.16,4,627.17,645.54
55,55,329,1526.52,4,625.77,381.63
56,56,23,3149.93,7,617.92,449.98999999999995
57,57,669,1745.34,2,616.27,872.67
58,58,24,4191.507,9,614.34,465.72299999999996
59,59,25,4367.896,13,609.44,335.99199999999996
60,60,231,3063.27,7,609.24,437.61
61,61,26,4643.8,4,607.34,1160.95
62,62,185,4473.0,7,604.4,639.0
63,63,1344,1502.01,9,600.21,166.89
64,64,10,5049.0,11,595.5,459.0
65,65,27,2104.55,7,594.02,300.65000000000003
66,66,231,2188.05,5,593.91,437.61
67,67,28,1920.36,4,592.77,480.09
68,68,185,1704.0,4,592.73,426.0
69,69,29,1858.68,4,590.56,464.67
70,70,86,3298.26,7,589.36,471.18
71,71,127,2443.48,13,589.29,187.96
72,72,86,3808.8,8,588.13,476.1
